test_time_second,current_ampere,voltage_volt,surface_temperature_celsius
0,-0.0028854520177433,4.18726253105995,25
0.0250000000014552,-4.4852976021968,4.14773663640313,25
1.02200000000084,-4.49985614912163,4.13914405060817,25
2.02200000000084,-4.50000450681941,4.13494323088619,25
3.02200000000084,-4.50001355834606,4.1316971429192,25
4.02200000000084,-4.50000450681941,4.12845105495222,25
5.02300000000105,-4.49995944768455,4.12577780603823,25
6.02200000000084,-4.49999549499244,4.12348644982624,25
7.02200000000084,-4.50004059382698,4.12157698631625,25
8.02200000000084,-4.49993237250395,4.11947657645526,25
9.02200000000084,-4.49997747133849,4.11756711294526,25
10.0220000000008,-4.49996845951152,4.11584859578627,25
11.0220000000008,-4.50002257017304,4.11432102497828,25
12.0220000000008,-4.4999414240306,4.11279345417029,25
13.0220000000008,-4.5000676293079,4.11126588336229,25
14.0220000000008,-4.49997747133849,4.1099292589053,25
15.0220000000008,-4.50000450681941,4.10859263444831,25
16.0220000000008,-4.50005861748093,4.10744695634231,25
17.0220000000008,-4.49999549499244,4.10630127823632,25
18.0220000000008,-4.49997747133849,4.10515560013032,25
19.0220000000008,-4.49997747133849,4.10420086837533,25
20.0220000000008,-4.50003158200001,4.10305519026933,25
21.0220000000008,-4.49995043585758,4.10190951216334,25
22.0220000000008,-4.5000947044885,4.10095478040834,25
23.0220000000008,-4.49995944768455,4.09980910230235,25
24.0220000000008,-4.49996845951152,4.09885437054735,25
25.0220000000008,-4.49998648316547,4.09789963879235,25
26.0220000000008,-4.49996845951152,4.09694490703736,25
27.0220000000008,-4.49996845951152,4.09599017528236,25
28.0220000000008,-4.49992336067698,4.09522638987837,25
29.0220000000008,-4.49996845951152,4.09427165812337,25
30.0220000000008,-4.49997747133849,4.09331692636838,25
31.0220000000008,-4.50001355834606,4.09255314096438,25
32.0220000000008,-4.49999549499244,4.09178935556038,25
33.0220000000008,-4.49989632519606,4.09083462380539,25
34.0220000000008,-4.50004059382698,4.09007083840139,25
35.0220000000008,-4.49995944768455,4.08911610664639,25
36.0220000000008,-4.49999549499244,4.0885432675934,25
37.0220000000008,-4.50002257017304,4.0875885358384,25
38.0220000000008,-4.49997747133849,4.0868247504344,25
39.0220000000008,-4.49995944768455,4.08606096503041,25
